Intensity_MaxHR_Pct,Duration_Hours,Training_Effectiveness
0.959,0.379,0.6436
0.955,1.284,0.5813
0.912,0.992,0.6347
0.857,1.053,0.5915
0.634,2.952,0.5665
0.665,2.0,0.575
0.959,2.209,0.2753
0.843,2.935,0.3274
0.604,1.256,0.264
0.641,2.445,0.5691
0.865,1.417,0.8016
0.602,2.635,0.6419
0.664,0.706,0.357
0.819,2.854,0.3973
0.877,0.813,0.5361
0.861,1.113,0.6338
0.69,2.317,0.5516
0.885,1.303,0.666
0.695,1.903,0.6574
0.73,1.445,0.6798
0.899,2.279,0.5162
0.86,0.839,0.6389
0.94,0.364,0.5757
0.863,1.04,0.7588
0.827,1.528,0.7674
0.637,0.67,0.2892
0.747,1.193,0.706
0.706,1.32,0.6222
0.698,0.361,0.3447
0.989,1.833,0.4478
0.757,2.676,0.513
0.957,0.625,0.5656
0.852,1.874,0.7598
0.918,2.061,0.5065
0.801,1.374,0.8505
0.831,2.163,0.7054
0.797,1.35,0.9072
0.678,1.613,0.5353
0.889,0.221,0.5295
0.712,2.137,0.6273
0.61,2.052,0.5507
0.858,0.308,0.4403
0.671,1.231,0.5328
0.976,2.941,0.1004
0.982,1.378,0.466
0.966,1.605,0.4262
0.748,2.748,0.5234
0.606,2.208,0.5902
0.971,1.83,0.4407
0.771,2.434,0.6645
0.987,2.62,0.2805
0.985,1.479,0.4945
0.941,1.53,0.54
0.718,1.281,0.6846
0.754,2.907,0.4812
0.94,2.152,0.4071
0.727,0.433,0.304
0.668,2.616,0.623
0.823,1.546,0.8121
0.974,0.393,0.6028
0.878,1.739,0.6594
0.828,1.368,0.8327
0.639,2.658,0.5397
0.846,0.771,0.6279
0.996,2.514,0.2536
0.656,1.762,0.6105
0.807,0.353,0.4819
0.951,2.921,0.0947
0.896,1.635,0.8277
0.879,1.014,0.7639
0.881,1.514,0.7631
0.744,2.602,0.5467
0.717,1.054,0.5823
0.924,0.739,0.5617
0.924,0.561,0.6393
0.947,1.034,0.593
0.965,2.384,0.2657
0.805,1.521,0.8158
0.801,0.837,0.703
0.919,0.665,0.665
0.86,1.132,0.8038
0.881,2.832,0.3833
0.918,1.16,0.6178
0.956,2.967,0.0
0.735,1.559,0.7732
0.75,0.702,0.5231
0.638,2.695,0.587
0.831,1.489,0.8233
0.614,2.187,0.4728
0.786,2.954,0.4918
0.817,0.34,0.5224
0.715,0.471,0.4027
0.836,2.217,0.7088
0.612,0.989,0.3391
0.615,0.716,0.2169
0.929,0.31,0.5656
0.744,0.261,0.3654
0.651,2.369,0.5815
0.809,0.576,0.6049
0.908,1.51,0.689
0.686,1.897,0.7504
0.849,1.399,0.8995
0.634,0.276,0.1589
0.621,2.394,0.3683
0.813,0.229,0.5207
0.816,2.333,0.6154
0.855,2.701,0.3969
0.89,1.412,0.6839
0.99,1.7,0.4089
0.807,1.536,0.8707
0.729,1.29,0.6152
0.918,2.685,0.2604
0.708,2.703,0.5852
0.776,1.14,0.7693
0.631,1.922,0.5679
0.61,2.795,0.5628
0.985,2.894,0.079
0.934,1.625,0.5479
0.878,1.468,0.7456
0.764,0.98,0.7347
0.669,2.885,0.4674
0.663,0.6,0.2884
0.7,1.824,0.6133
0.82,0.991,0.6298
0.886,0.981,0.709
0.864,1.334,0.7831
0.712,2.997,0.5561
0.982,0.354,0.6489
0.895,1.82,0.6254
0.822,0.431,0.4983
0.845,0.633,0.702
0.768,1.431,0.7916
0.699,1.629,0.7083
0.742,0.925,0.598
0.903,1.086,0.5584
0.606,0.444,0.0448
0.646,1.049,0.3711
0.618,2.906,0.6623
0.616,2.845,0.6434
0.942,1.138,0.6327
0.881,1.798,0.6426
0.79,2.747,0.5967
0.639,0.217,0.1014
0.797,2.47,0.6176
0.789,2.855,0.4841
0.669,0.456,0.2618
0.774,0.652,0.6093
0.759,2.89,0.4716
0.846,1.705,0.7223
0.854,0.24,0.5076
0.618,0.921,0.2814
0.75,1.46,0.9471
0.85,2.14,0.6992
0.801,2.253,0.6682
0.943,2.987,0.1299
0.863,1.005,0.5981
0.665,1.707,0.5365
0.628,1.693,0.508
0.857,1.336,0.8403
0.611,0.674,0.2741
0.834,2.937,0.4102
0.976,2.589,0.2086
0.83,1.595,0.8371
0.755,1.889,0.7574
0.857,0.836,0.7372
0.783,1.723,0.8227
0.818,2.146,0.7101
0.977,1.642,0.3583
0.754,2.973,0.4863
0.984,1.912,0.4363
0.962,1.239,0.496
0.678,2.362,0.5614
0.628,0.677,0.2906
0.64,1.277,0.3729
0.607,1.171,0.4016
0.638,1.409,0.445
0.873,2.389,0.4991
0.628,1.556,0.4234
0.728,2.423,0.6461
0.938,1.814,0.6524
0.609,1.158,0.388
0.926,2.468,0.3238
0.713,0.867,0.5644
0.647,0.828,0.3201
0.879,1.613,0.796
0.852,0.93,0.7224
0.951,0.225,0.4409
0.894,2.015,0.5505
0.921,1.631,0.6553
0.713,1.447,0.693
0.671,2.908,0.5177
0.9,1.799,0.6076
0.923,2.618,0.2299
0.996,0.59,0.5781
0.765,1.794,0.92
0.749,2.63,0.6164
0.911,1.833,0.7123
0.736,2.21,0.7326
0.972,1.242,0.5848
0.943,0.459,0.6748
0.772,1.482,0.8355
0.9,1.305,0.6671
0.902,2.628,0.4194
0.641,0.883,0.4121
0.961,2.907,0.1441
0.802,2.883,0.4253
0.931,0.893,0.6017
0.728,1.175,0.6979
0.958,2.708,0.2661
0.756,2.907,0.4356
0.604,1.442,0.5047
0.962,1.099,0.5257
0.637,1.673,0.5032
0.728,2.126,0.6525
0.98,0.966,0.6833
0.98,2.262,0.3215
0.829,0.345,0.4616
0.853,0.338,0.5662
0.779,1.282,0.8246
0.717,1.19,0.6238
0.731,1.084,0.6758
0.869,1.575,0.712
0.901,1.098,0.6316
0.917,0.738,0.4923
0.916,1.067,0.5615
0.636,2.93,0.6869
0.798,1.351,0.8981
0.623,1.445,0.4494
0.82,1.814,0.8943
0.777,2.953,0.4676
0.955,0.876,0.5593
0.74,2.108,0.7213
0.647,2.205,0.5658
0.657,1.901,0.5715
0.905,0.448,0.6222
0.847,2.095,0.6954
0.64,0.379,0.2288
0.634,1.869,0.5862
0.88,2.271,0.567
0.629,0.791,0.2374
0.929,2.557,0.2639
0.882,0.285,0.5441
0.633,2.563,0.5652
0.634,1.489,0.4836
0.995,0.809,0.5556
0.75,0.575,0.6027
0.748,2.869,0.4539
0.925,0.403,0.4688
0.979,0.757,0.5813
0.994,1.174,0.4941
0.901,1.937,0.6189
0.751,1.725,0.823
0.633,0.552,0.2908
0.911,1.011,0.5545
0.823,0.869,0.6409
0.77,0.798,0.6169
0.963,1.351,0.5782
0.644,2.171,0.6788
0.797,0.809,0.6806
0.605,1.227,0.3547
0.787,1.295,0.7524
0.623,2.934,0.5805
0.648,2.873,0.5543
0.647,2.44,0.6067
0.86,0.877,0.674
0.898,0.391,0.4906
0.833,1.087,0.7189
0.985,0.947,0.5902
0.75,1.617,0.8108
0.714,2.378,0.657
0.947,2.603,0.2967
0.689,2.566,0.6661
0.985,1.207,0.5309
0.605,2.124,0.5054
0.988,1.076,0.4849
0.617,0.371,0.161
0.956,2.164,0.2669
0.811,0.228,0.4471
0.997,1.346,0.4746
0.63,1.122,0.3129
0.822,2.141,0.6656
0.988,2.345,0.312
0.809,1.051,0.7442
0.852,2.473,0.5349
0.878,1.023,0.6941
0.782,1.45,0.8278
0.851,2.236,0.6894
0.834,2.14,0.7016
0.96,2.965,0.0817
0.618,0.83,0.3576
0.712,2.054,0.7048
0.98,1.907,0.3748
0.956,2.762,0.1522
0.782,0.638,0.5684
0.848,2.305,0.599
0.711,1.791,0.7861
0.675,0.969,0.4307
0.785,1.528,0.7926
0.741,1.135,0.7194
0.833,1.822,0.8386
0.631,2.689,0.5901
0.99,1.794,0.4456
0.994,1.969,0.3586
0.879,1.652,0.7332
0.814,0.343,0.547
0.724,0.852,0.5592
0.926,1.578,0.5949
0.874,1.069,0.7622
0.665,0.709,0.2201
0.964,1.612,0.6042
0.929,1.104,0.5228
0.98,0.923,0.5199
0.89,1.499,0.7017
0.845,0.573,0.5679
0.767,2.798,0.5721
0.973,2.63,0.1661
0.946,2.181,0.4218
0.618,0.497,0.1542
0.611,2.372,0.5704
0.751,2.462,0.621
0.924,2.35,0.4148
0.995,0.519,0.5633
0.66,2.003,0.5651
0.838,2.536,0.5438
0.752,1.817,0.8368
0.988,2.01,0.3325
0.937,1.483,0.5402
0.935,1.68,0.5929
0.787,0.296,0.4398
0.766,1.989,0.8158
0.709,0.428,0.2987
0.623,1.418,0.3499
0.946,1.019,0.5542
0.925,1.727,0.5436
1.0,0.574,0.582
0.999,2.137,0.2769
0.822,2.426,0.6343
0.908,0.657,0.5737
0.978,0.492,0.5939
0.94,0.607,0.5843
0.699,2.656,0.5848
0.78,1.679,0.8318
0.652,1.508,0.5515
0.982,0.499,0.5474
0.842,2.019,0.7937
0.691,2.63,0.5658
0.869,2.519,0.412
0.847,1.953,0.7443
0.743,0.411,0.3615
0.645,0.515,0.2728
0.869,0.338,0.645
0.808,0.921,0.6446
0.909,0.58,0.5954
0.808,0.928,0.5987
0.941,1.278,0.6099
0.821,2.84,0.4032
0.824,1.909,0.7528
0.951,2.538,0.2349
0.761,2.189,0.7512
0.654,0.515,0.3063
0.612,2.261,0.5459
0.902,0.97,0.5939
0.848,1.99,0.8017
0.882,1.155,0.6605
0.685,2.993,0.4488
0.655,0.938,0.4095
0.606,0.982,0.2392
0.74,2.806,0.5882
0.836,0.269,0.4749
0.757,2.151,0.7535
0.775,2.231,0.7751
0.962,2.542,0.2057
0.739,2.928,0.4893
0.806,2.932,0.44
0.913,0.383,0.64
0.759,2.501,0.5792
0.849,2.01,0.6843
0.945,2.013,0.485
0.98,0.559,0.552
0.659,2.021,0.5961
0.971,2.951,0.0618
0.797,2.753,0.6171
0.703,1.43,0.5877
0.784,0.312,0.4241
0.992,1.214,0.5086
0.797,2.514,0.6857
0.732,2.164,0.6277
0.853,1.486,0.8868
0.696,0.354,0.3334
0.63,1.395,0.4723
0.652,1.513,0.4771
0.651,2.8,0.6077
0.661,1.995,0.5555
0.656,1.073,0.4932
0.856,1.671,0.7254
0.673,0.385,0.2517
0.738,2.923,0.4915
0.959,1.208,0.5077
0.79,1.538,0.8748
0.867,1.195,0.7565
0.669,2.111,0.665
0.677,2.054,0.5314
0.616,2.203,0.5958
0.668,0.951,0.5483
0.711,1.084,0.5602
0.671,0.551,0.397
0.635,2.035,0.5377
0.648,0.311,0.1213
0.784,1.874,0.7954
0.683,2.635,0.6291
0.746,2.694,0.5185
0.801,1.457,0.8036
0.876,1.486,0.7687
0.616,0.416,0.1575
0.92,2.078,0.5393
0.851,2.5,0.5321
0.633,0.885,0.3451
0.949,1.38,0.5418
0.968,2.549,0.2627
0.624,2.656,0.5346
0.711,0.881,0.5723
0.922,1.742,0.5551
0.899,0.739,0.6604
0.674,0.485,0.2767
0.684,2.751,0.578
0.748,2.497,0.5886
0.794,2.328,0.6132
0.847,0.337,0.4307
0.748,2.562,0.5419
0.785,1.427,0.8061
0.899,1.159,0.6777
0.615,1.73,0.5336
0.701,0.456,0.3134
0.885,2.319,0.4731
0.958,1.831,0.4005
0.805,0.722,0.6291
0.813,0.727,0.6818
0.643,0.716,0.3562
0.779,0.36,0.4829
0.813,1.846,0.8425
0.697,2.553,0.6735
0.708,0.249,0.3059
0.751,0.337,0.4273
0.608,1.804,0.468
0.729,2.495,0.542
0.685,1.115,0.4854
0.731,1.179,0.6646
0.648,1.87,0.5647
0.956,0.968,0.6658
0.837,0.275,0.5007
0.872,2.259,0.6322
0.916,1.952,0.5362
0.799,1.826,0.8053
0.635,2.277,0.4954
0.815,2.091,0.701
0.835,0.776,0.6637
0.898,1.187,0.6721
0.773,0.553,0.5504
0.651,0.564,0.2737
0.714,2.093,0.6645
0.745,2.604,0.6915
0.858,2.896,0.3639
0.828,1.959,0.8233
0.742,0.715,0.4937
0.995,0.496,0.6293
0.842,2.476,0.5921
0.695,1.821,0.6781
0.641,1.931,0.4342
0.661,2.388,0.5841
0.698,2.169,0.7082
0.664,2.536,0.6055
0.675,0.357,0.2759
0.714,2.293,0.5592
0.669,2.582,0.5421
0.959,1.001,0.5864
0.632,1.993,0.5635
0.81,1.08,0.8035
0.764,2.882,0.497
0.993,0.294,0.6398
0.645,1.823,0.5525
0.759,0.666,0.4754
0.988,2.194,0.2002
0.946,0.692,0.598
0.927,0.859,0.6048
0.703,1.584,0.6473
0.668,2.762,0.4907
0.867,0.793,0.6654
0.972,0.604,0.5627
0.823,2.325,0.6658
0.829,1.602,0.9188
0.712,2.753,0.4526
0.908,0.611,0.5473
0.675,2.009,0.6081
0.729,0.852,0.6137
0.77,0.639,0.4498
0.803,2.114,0.8368
0.697,1.862,0.6785
0.646,2.314,0.5675
0.844,1.066,0.7173
0.715,1.454,0.672
0.832,1.335,0.8541
0.662,2.955,0.5231
0.792,1.018,0.7287
0.813,1.025,0.705
0.621,1.193,0.3428
0.735,1.781,0.8905
0.654,0.907,0.396
0.625,2.763,0.6205
0.996,0.944,0.5973
0.729,2.708,0.4915
0.924,0.49,0.6598
0.702,2.038,0.5431
0.873,2.74,0.352
0.904,0.672,0.5684
0.838,2.911,0.4284
0.789,1.468,0.8416
0.765,2.848,0.5031
0.74,2.095,0.7198
0.972,1.044,0.5004
0.932,0.727,0.5083
0.986,1.05,0.5717
0.65,0.46,0.2675
0.892,0.603,0.6637
0.975,0.493,0.5456
0.672,1.384,0.5924
0.627,2.428,0.5509
0.896,0.596,0.6423
0.83,0.565,0.6172
0.937,2.002,0.4964
0.656,0.752,0.3148
0.918,0.473,0.6181
0.681,0.667,0.3929
0.665,2.786,0.5383
0.666,2.5,0.5145
0.926,1.191,0.6028
0.866,2.036,0.7432
0.809,1.704,0.8924
0.744,2.096,0.6693
0.951,2.111,0.3596
0.757,1.96,0.8359
0.927,0.945,0.5456
0.776,0.309,0.453
0.751,1.476,0.751
0.785,2.695,0.6174
0.721,1.795,0.6908
0.899,2.531,0.4645
0.801,2.977,0.4483
0.693,0.658,0.3977
0.96,2.137,0.2905
0.754,2.088,0.6273
0.817,2.944,0.4124
0.963,2.96,0.1646
0.85,2.123,0.6166
0.647,0.882,0.2966
0.976,2.436,0.2966
0.851,0.5,0.5861
0.734,2.386,0.6333
0.656,2.749,0.6153
0.918,1.272,0.5777
0.848,1.966,0.7116
0.813,1.404,0.9078
0.958,1.426,0.5453
0.915,1.069,0.6351
0.661,2.334,0.7005
0.725,2.821,0.4743
0.699,2.834,0.5957
0.898,0.689,0.6802
0.613,2.649,0.5676
0.828,2.265,0.6983
0.905,0.908,0.5753
0.951,0.388,0.5459
0.737,0.95,0.6152
0.929,2.754,0.3122
0.644,1.973,0.6175
0.939,2.219,0.4954
0.651,0.92,0.3692
0.759,2.214,0.7651
0.919,0.279,0.5447
0.66,1.251,0.5362
0.692,1.955,0.6661
0.889,0.609,0.6082
0.888,2.504,0.4627
0.856,0.858,0.5772
0.878,2.026,0.5852
0.817,1.335,0.817
0.701,1.869,0.5956
0.738,0.501,0.467
0.673,0.247,0.2643
0.963,2.747,0.2219
0.833,0.955,0.6421
0.76,2.495,0.6832
0.785,2.998,0.5583
0.979,0.792,0.5694
0.661,0.942,0.43
0.834,2.056,0.7348
0.802,2.903,0.4823
0.845,2.764,0.4279
0.607,1.608,0.4469
0.949,2.426,0.3734
0.973,0.58,0.6955
0.826,2.937,0.3418
0.879,2.9,0.3242
0.969,0.658,0.5134
0.883,1.038,0.7554
0.661,0.48,0.2313
0.831,0.961,0.6287
0.843,2.485,0.5734
0.77,1.259,0.855
0.895,0.448,0.5953
0.974,1.158,0.5489
0.97,2.948,0.1616
0.78,1.963,0.86
0.645,1.365,0.4366
0.994,0.666,0.5672
0.936,2.961,0.1799
0.65,2.498,0.5165
0.968,0.988,0.5398
0.948,0.396,0.6343
0.808,0.359,0.5133
0.837,0.537,0.5935
0.76,1.826,0.8058
0.622,2.801,0.6215
0.734,1.591,0.7183
0.921,2.56,0.3319
0.602,1.448,0.4156
0.733,2.184,0.7056
0.759,2.249,0.7103
0.815,0.687,0.592
0.968,1.211,0.5235
0.739,1.984,0.9007
0.739,0.398,0.4374
0.895,1.212,0.7014
0.781,1.697,0.8208
0.69,2.989,0.5307
0.781,1.529,0.8246
0.656,2.485,0.5924
0.671,1.41,0.4633
0.799,2.43,0.5416
0.768,1.867,0.7692
0.966,2.682,0.2286
0.745,1.351,0.7341
0.832,1.892,0.852
0.853,1.964,0.6456
0.605,1.369,0.356
0.865,0.604,0.663
0.671,0.462,0.2828
0.984,0.247,0.662
0.659,2.646,0.6784
0.766,0.862,0.581
0.634,0.792,0.2919
0.999,2.261,0.2611
0.801,1.096,0.6471
0.838,1.617,0.7963
0.627,0.655,0.287
0.9,2.887,0.3186
0.684,2.584,0.6122
0.959,2.619,0.2303
0.682,1.339,0.5417
0.676,2.335,0.6633
0.615,0.603,0.1806
0.789,0.224,0.4395
0.826,0.256,0.4887
0.626,1.842,0.592
0.91,1.475,0.7015
0.781,1.65,0.7698
0.81,0.221,0.3936
0.776,1.384,0.8353
0.76,2.211,0.7038
0.824,1.44,0.8008
0.662,2.25,0.6403
0.673,0.852,0.4129
0.945,2.477,0.3242
0.978,1.848,0.4614
0.749,0.79,0.5383
0.708,0.863,0.5736
0.858,1.958,0.6718
0.763,2.524,0.6371
0.61,1.364,0.4737
0.662,0.923,0.332
0.886,2.628,0.3835
0.864,2.074,0.7176
0.611,1.455,0.4817
0.689,1.566,0.6274
0.692,0.772,0.3867
0.869,1.955,0.7339
0.608,1.204,0.4176
0.642,2.988,0.5378
0.92,1.545,0.5615
0.671,1.56,0.5982
0.861,1.784,0.7779
0.695,2.767,0.5484
0.64,2.442,0.6047
0.697,1.463,0.6087
0.889,2.212,0.4418
0.942,1.841,0.4899
0.932,1.579,0.5889
0.759,0.738,0.5396
0.867,1.499,0.7012
0.682,0.888,0.3472
0.717,2.762,0.5313
0.959,1.139,0.6061
0.605,2.866,0.6785
0.634,1.693,0.5739
0.683,1.968,0.596
0.611,1.72,0.4167
0.673,0.562,0.3341
0.833,1.252,0.8163
0.769,0.478,0.4899
0.957,1.944,0.3471
0.927,1.451,0.5675
0.737,2.378,0.6423
0.704,0.817,0.4916
0.752,0.661,0.5485
0.836,1.338,0.8054
0.707,2.794,0.5729
0.85,2.189,0.6522
0.764,1.373,0.8212
0.821,1.648,0.8469
0.774,0.436,0.4679
0.718,2.957,0.5185
0.979,2.066,0.3694
0.905,0.999,0.6609
0.656,1.84,0.5902
0.947,0.507,0.5954
0.795,2.904,0.5324
0.958,0.689,0.5864
0.92,2.014,0.4958
0.77,0.887,0.6771
0.609,2.209,0.4692
0.707,2.375,0.5692
0.817,2.086,0.755
0.853,1.921,0.7574
0.703,2.699,0.5068
0.656,0.42,0.2142
0.934,1.127,0.5702
0.994,0.895,0.5225
0.81,2.966,0.4757
0.669,1.29,0.5603
0.709,2.251,0.6468
0.607,2.117,0.4986
0.966,0.794,0.4993
0.647,0.869,0.4193
0.831,0.988,0.7398
0.71,1.351,0.621
0.822,0.856,0.7001
0.861,0.255,0.5115
0.932,2.662,0.2779
0.683,2.904,0.5831
0.604,1.156,0.3019
0.655,1.148,0.432
0.96,0.22,0.6033
0.95,2.105,0.3984
0.839,2.511,0.5707
0.84,0.611,0.6783
0.866,0.647,0.5593
0.67,2.412,0.505
0.966,1.926,0.3315
0.768,0.326,0.4118
0.753,1.943,0.7378
0.808,1.065,0.7473
0.619,1.232,0.3938
0.667,2.355,0.5086
0.895,2.471,0.3463
0.633,1.321,0.4555
0.841,2.852,0.4184
0.698,1.338,0.5993
0.756,2.361,0.5738
0.715,1.555,0.7322
0.742,2.713,0.6213
0.888,2.742,0.3738
0.719,0.445,0.326
0.827,2.822,0.4467
0.79,2.511,0.5273
0.865,2.416,0.578
0.975,0.763,0.5695
0.893,2.454,0.3597
0.686,2.58,0.5669
0.612,1.01,0.3382
0.705,2.866,0.5331
0.838,0.34,0.4972
0.621,0.62,0.1596
0.799,1.705,0.866
0.839,1.812,0.7532
0.734,2.006,0.6224
0.908,0.248,0.5345
0.643,2.889,0.6376
0.63,0.325,0.1403
0.891,0.601,0.6712
0.798,0.239,0.4634
0.875,1.787,0.7276
0.774,2.81,0.5061
0.699,2.065,0.6565
0.928,2.503,0.3381
0.92,0.237,0.5467
0.878,1.718,0.743
0.709,1.487,0.6342
0.836,1.597,0.7618
0.744,0.402,0.3471
0.637,2.116,0.6596
0.967,1.609,0.5226
0.655,2.342,0.5947
0.98,1.559,0.4245
0.778,0.618,0.5671
0.674,2.015,0.611
0.817,0.683,0.6091
0.949,2.643,0.2134
0.893,1.917,0.6404
0.923,0.64,0.5603
0.864,2.895,0.3211
0.877,1.651,0.7645
0.94,0.404,0.4976
0.7,1.955,0.7014
0.796,0.909,0.7059
0.688,2.45,0.5535
0.995,2.49,0.1767
0.978,2.941,0.1183
0.616,1.605,0.4775
0.882,1.474,0.7167
0.97,2.31,0.3384
0.672,0.571,0.3996
0.827,1.731,0.7908
0.966,1.729,0.3891
0.614,0.451,0.2042
0.879,1.37,0.8131
0.719,2.589,0.607
0.97,2.597,0.18
0.988,0.478,0.5865
0.978,0.454,0.5336
0.79,0.936,0.7089
0.945,2.649,0.2015
0.938,0.561,0.5605
0.728,2.216,0.6271
0.932,0.483,0.5793
0.615,1.945,0.495
0.839,1.197,0.7758
0.692,2.409,0.6065
0.648,0.854,0.2966
0.631,1.99,0.5721
0.879,0.86,0.6401
0.736,2.198,0.6414
0.89,2.646,0.4993
0.626,0.555,0.2374
0.726,2.626,0.5723
0.816,1.862,0.8757
0.916,0.556,0.6683
0.728,1.397,0.7075
0.85,0.65,0.6157
0.954,2.161,0.3457
0.846,2.325,0.5927
0.693,0.496,0.3223
0.61,1.617,0.464
0.948,2.481,0.3297
0.609,2.821,0.6349
0.95,1.638,0.5432
0.812,2.861,0.3941
0.976,1.7,0.4132
0.92,1.304,0.6055
0.999,2.575,0.1733
0.74,1.58,0.8243
0.907,1.521,0.6006
0.761,1.573,0.7917
0.792,2.571,0.6206
0.851,2.529,0.4936
0.949,1.33,0.5901
0.994,1.133,0.5119
0.907,1.577,0.6662
0.767,1.804,0.7987
0.769,0.867,0.6557
0.895,2.423,0.3776
0.696,1.562,0.6362
0.644,1.135,0.4342
0.742,0.499,0.4582
0.715,0.869,0.5881
0.719,2.858,0.5232
0.693,1.054,0.5987
0.617,0.673,0.1958
0.607,1.49,0.4911
0.995,1.06,0.5678
0.771,0.298,0.3714
0.754,1.105,0.7053
0.872,1.724,0.7283
0.687,1.745,0.6786
